,DBC,TIP,TLT,VEA,VNQ,VNQI,VTI,VWO
2014-05-23,26.43,115.21,112.7,42.25,74.14,57.13,98.49,42.9
2014-05-30,26.03,115.59,114.1,42.66,74.69,57.87,99.58,42.21
2014-06-06,26.05,113.79,111.59,43.17,76.09,58.27,101.2,43.36
2014-06-13,26.39,113.85,112.15,42.84,74.41,57.65,100.62,43.61
2014-06-20,26.92,114.62,111.8,43.31,75.62,58.22,102.17,43.61
2014-06-27,26.74,115.345,113.24,42.54,75.02,58.0,101.73,43.2
2014-07-03,26.4,114.11,110.68,43.09,74.63,58.491,102.98,44.01
2014-07-11,25.75,115.29,113.58,42.04,75.54,58.35,101.74,43.98
2014-07-18,25.54,115.28,114.52,42.31,76.56,58.95,102.14,44.23
2014-07-25,25.69,115.67,115.67,42.37,76.03,59.02,102.14,44.9
2014-08-01,25.12,114.99,114.56,41.35,75.24,58.51,99.49,43.98
2014-08-08,25.28,115.36,115.52,40.81,74.92,57.71,99.93,43.78
2014-08-15,24.94,115.75,117.71,41.36,76.23,58.91,101.27,44.58
2014-08-22,24.87,114.92,117.29,41.53,76.75,59.23,103.01,44.99
2014-08-29,25.03,115.25,118.77,41.69,77.18,58.8,103.88,45.4
2014-09-05,24.63,114.1,115.73,41.81,77.92,59.16,104.11,46.49
2014-09-12,23.83,112.66,113.38,41.16,73.86,57.44,103.08,44.26
2014-09-19,23.68,112.04,114.6,41.1,73.64,56.26,103.98,43.97
2014-09-26,23.49,112.11,116.0,40.18,72.31,55.23,101.9,42.53
2014-10-03,22.83,112.41,117.7,38.88,72.24,53.87,101.08,41.5
2014-10-10,22.59,113.79,120.05,37.44,73.49,53.18,97.66,40.93
2014-10-17,22.27,114.0,121.07,37.57,74.67,53.66,97.12,41.15
2014-10-24,22.16,113.29,119.72,38.59,77.05,54.88,101.15,41.47
2014-10-31,22.32,113.08,119.25,39.61,78.99,56.86,104.02,42.64
2014-11-07,21.98,113.62,119.75,38.94,78.93,55.1,104.78,41.81
2014-11-14,21.64,113.2,119.49,39.24,78.45,56.39,105.17,42.13
2014-11-21,21.74,113.06,120.1,39.49,79.18,56.19,106.37,43.11
2014-11-28,20.42,113.26,122.49,39.61,80.57,56.22,106.6,42.17
2014-12-05,20.17,112.0,121.09,39.62,80.59,56.0,106.95,41.51
2014-12-12,19.31,112.78,126.3,37.79,80.83,54.3,103.34,38.84
2014-12-19,19.22,112.35,125.87,38.63,82.03,54.82,106.91,39.67
2014-12-26,18.79,111.57,124.41,38.7,82.0,54.29,107.36,40.04
2015-01-02,18.23,112.73,127.32,37.69,82.22,53.77,105.92,39.56
2015-01-09,17.73,113.08,131.07,37.21,85.13,54.23,105.27,40.1
2015-01-16,17.55,113.8,133.19,37.87,87.34,55.63,104.0199,40.39
2015-01-23,17.29,114.32,134.77,38.23,87.88,55.875,105.75,41.66
2015-01-30,17.4,115.63,138.28,38.15,86.55,54.94,103.1,39.94
2015-02-06,18.02,113.86,130.96,38.86,85.2,56.21,106.33,40.72
2015-02-13,18.3,112.66,128.19,39.68,85.06,56.81,108.47,41.78
2015-02-20,17.96,112.48,126.54,40.46,84.61,57.01,109.28,41.77
2015-02-27,18.17,114.14,129.53,40.5,83.37,56.96,109.02,41.8
2015-03-06,17.57,111.97,123.5,39.74,80.37,55.34,107.46,40.14
2015-03-13,16.95,111.51,126.72,39.27,82.38,54.71,106.87,39.2
2015-03-20,17.21,113.76,131.51,40.86,87.03,56.44,109.76,40.72
2015-03-27,17.18,113.67,131.06,40.37,83.86,56.74,106.87,40.08
2015-04-02,17.29,114.05,130.73,40.41,84.83,57.19,107.39,42.06
2015-04-10,17.44,113.95,129.62,41.13,82.52,58.84,109.12,43.8
2015-04-17,17.94,115.49,131.45,41.01,81.8,58.53,108.08,43.52
2015-04-24,18.0,115.02,129.07,41.93,82.62,59.29,109.85,44.67
2015-05-01,18.27,113.89,124.0,41.72,79.98,59.4,108.9,44.16
2015-05-08,18.22,113.25,122.51,41.97,80.48,59.13,109.45,43.94
2015-05-15,18.45,113.15,121.59,42.45,81.09,59.95,109.94,44.37
2015-05-22,17.99,112.93,120.4,42.2,80.05,59.45,110.3,43.96
2015-05-29,17.71,113.21,122.71,41.35,79.14,57.75,109.31,42.34
2015-06-05,17.57,111.36,117.6,40.7,77.21,56.67,108.91,41.43
2015-06-12,17.59,111.47,117.95,41.06,77.45,56.94,109.06,41.55
2015-06-19,17.45,112.61,119.08,40.98,78.78,56.67,109.94,41.47
2015-06-26,17.7,111.44,115.23,40.94,75.9,56.3,109.01,41.25
2015-07-02,17.75,112.13,116.0,40.01,76.11,55.54,107.58,41.07
2015-07-10,17.27,111.82,116.05,40.03,77.76,54.72,107.6,39.73
2015-07-17,16.85,112.02,118.72,40.6,78.51,55.96,109.96,40.05
2015-07-24,16.14,112.1,121.39,39.68,78.07,54.71,107.56,38.39
2015-07-31,15.73,112.65,122.53,40.23,79.0,55.1,108.84,38.32
2015-08-07,15.43,112.08,124.34,40.14,78.79,55.12,107.43,37.54
2015-08-14,15.33,111.7,123.96,39.79,79.83,55.06,108.16,36.82
2015-08-21,14.81,112.15,126.4,37.16,78.18,51.85,102.23,33.86
2015-08-28,15.32,111.68,122.36,37.6,75.76,51.53,102.98,34.61
2015-09-04,15.21,110.91,122.68,35.89,72.2,49.23,99.76,32.78
2015-09-11,15.23,111.0,121.39,37.02,74.0,50.95,101.86,34.07
2015-09-18,15.01,111.22,122.1,36.67,76.3,50.96,101.84,34.36
2015-09-25,15.15,110.13,121.54,35.69,75.29,50.81,99.61,32.6898
2015-10-02,15.15,111.67,124.56,36.33,76.46,51.87,100.36,34.07
2015-10-09,15.76,111.28,122.28,37.93,78.99,53.34,103.83,36.02
2015-10-16,15.42,111.29,123.93,38.14,80.01,53.84,104.51,36.37
2015-10-23,15.0,111.26,123.2,38.62,80.72,54.46,106.31,36.41
2015-10-30,15.2,110.96,122.78,38.04,79.89,53.55,106.53,34.84
2015-11-06,14.92,109.76,119.0,37.93,78.22,52.81,107.84,35.39
2015-11-13,14.29,109.82,119.68,36.96,76.44,51.44,103.84,33.7
2015-11-20,14.18,110.6,120.45,37.93,79.22,53.2,107.22,35.22
2015-11-27,14.28,110.85,120.97,37.8,79.98,52.37,107.63,33.99
2015-12-04,14.19,110.42,120.58,37.85,79.09,52.94,107.39,33.93
2015-12-11,13.53,110.32,123.76,36.22,77.66,50.59,103.24,31.56
2015-12-18,13.27,109.83,123.23,36.36,79.08,51.73,102.9,32.64
2015-12-24,13.39,109.77,121.83,37.14,79.42,51.77,105.23,33.35
2015-12-31,13.36,109.68,120.58,36.72,79.73,51.1,104.3,32.71
2016-01-08,12.8,110.39,123.36,34.37,77.46,48.17,97.97,30.0
2016-01-15,12.065,110.24,125.752,33.34,75.57,46.82,95.46,28.76
2016-01-22,12.4,109.95,125.34,34.07,76.41,46.93,96.81,29.57
2016-01-29,12.78,111.4,127.3,34.69,76.99,48.66,98.33,30.83
2016-02-05,12.53,111.39,128.72,33.7,75.51,48.07,95.26,30.29
2016-02-12,12.5,111.6,131.5,32.74,72.29,47.21,94.36,29.63
2016-02-19,12.44,111.35,131.005,33.75,75.43,49.18,97.3,30.68
2016-02-26,12.59,112.38,130.41,33.77,77.01,49.24,99.11,30.54
2016-03-04,13.15,112.57,128.6,35.37,79.87,51.42,102.07,33.41
2016-03-11,13.44,112.05,127.36,35.98,81.19,52.25,103.19,33.61
2016-03-18,13.58,113.52,129.06,36.02,83.02,53.29,104.13,34.4
2016-03-24,13.35,113.12,129.54,35.29,80.95,52.29,103.32,33.81
2016-04-01,13.06,114.73,130.68,35.48,83.69,53.24,105.48,34.68
2016-04-08,13.26,114.86,132.01,35.46,83.16,53.55,104.2,33.87
2016-04-15,13.56,114.33,131.88,36.54,83.38,54.23,106.06,35.11
2016-04-22,14.06,113.82,128.36,37.27,81.77,54.64,106.8,35.02
2016-04-29,14.58,114.88,129.38,36.71,81.83,54.63,105.51,34.93
2016-05-06,14.12,114.65,130.45,36.01,85.59,53.84,104.98,33.47
2016-05-13,14.48,115.25,132.28,35.73,84.4,53.13,104.42,32.86
2016-05-20,14.66,114.09,130.15,36.02,82.04,53.25,104.89,32.8
2016-05-27,14.8,114.31,129.85,36.73,83.68,53.73,107.39,33.71
2016-06-03,14.99,115.06,133.23,36.88,84.51,54.63,107.69,34.57
2016-06-10,15.36,115.81,134.78,36.06,84.7,54.12,107.5,34.2
2016-06-17,15.27,115.39,135.61,35.13,85.64,52.89,105.8,33.83
2016-06-24,15.01,115.78,135.78,34.08,84.87,51.81,104.04,33.48
2016-07-01,15.54,117.06,140.57,35.44,88.7,54.16,107.37,35.49
2016-07-08,14.88,117.55,143.6,35.08,89.8,53.9,108.84,35.41
2016-07-15,14.93,116.41,138.39,36.16,90.11,54.69,110.55,36.56
2016-07-22,14.56,116.08,138.8,36.14,91.78,55.4,111.32,36.89
2016-07-29,14.28,116.9,141.56,36.83,92.45,56.24,111.42,37.04
2016-08-05,14.36,115.71,138.0,36.64,90.33,56.42,111.89,37.49
2016-08-12,14.56,116.09,140.08,37.37,90.23,57.03,112.04,38.18
2016-08-19,15.12,115.99,138.71,37.35,88.52,56.99,112.14,38.34
2016-08-26,14.87,115.7,138.36,37.05,88.18,56.32,111.54,37.47
2016-09-02,14.39,115.59,138.63,37.67,89.52,56.63,112.28,38.1
2016-09-09,14.65,115.08,135.52,37.15,86.09,55.9,109.655,37.41
2016-09-16,14.44,114.95,134.75,36.33,84.97,54.65,109.61,36.8
2016-09-23,14.57,116.22,136.82,37.44,88.53,56.04,111.15,37.69
2016-09-30,15.01,116.49,137.51,37.41,86.74,56.17,111.33,37.63
2016-10-07,15.18,115.65,133.92,36.99,82.15,53.96,110.54,37.94
2016-10-14,15.26,115.43,131.59,36.48,83.08,53.11,109.37,37.32
2016-10-21,15.33,116.13,133.31,36.86,83.47,53.89,109.8,38.07
2016-10-28,15.16,115.64,130.45,36.54,80.45,53.11,108.82,37.45
2016-11-04,14.7,115.89,131.74,35.82,78.82,52.84,106.79,36.56
2016-11-11,14.41,114.25,122.04,35.93,78.54,51.19,111.41,35.25
2016-11-18,14.67,113.32,120.85,35.58,78.92,50.34,112.77,35.38
2016-11-25,15.01,113.12,120.82,35.94,80.18,50.7,114.55,35.96
2016-12-02,15.6,112.95,119.6,35.97,80.0,51.0,113.31,35.77
2016-12-09,15.6,112.8,117.5,37.12,83.21,52.06,117.15,36.7
2016-12-16,15.64,111.09,117.14,36.73,82.63,50.41,116.77,35.65
2016-12-23,15.54,112.42,118.05,36.46,80.82,48.92,116.42,35.03
2016-12-30,15.84,113.17,119.13,36.54,82.53,49.57,115.32,35.78
2017-01-06,15.83,113.45,120.86,37.4,84.29,51.07,117.23,36.73
2017-01-13,15.89,113.98,121.31,37.78,82.61,50.89,117.22,37.24
2017-01-20,15.87,113.71,119.94,37.62,83.14,50.59,116.91,37.02
2017-01-27,15.75,113.97,119.63,38.02,82.34,50.94,118.16,38.01
2017-02-03,15.91,113.83,119.0,38.23,82.8,51.62,118.42,38.29
2017-02-10,16.05,114.2,120.76,38.26,83.81,52.42,119.54,38.91
2017-02-17,15.78,114.16,120.32,38.47,83.77,52.43,121.31,39.17
2017-02-24,15.7,114.96,122.01,38.35,85.4,52.88,121.98,39.19
2017-03-03,15.62,113.86,119.35,38.6,84.21,52.25,122.75,38.94
2017-03-10,14.91,112.96,117.25,38.63,80.41,52.04,122.04,38.65
2017-03-17,14.99,113.81,118.64,39.34,82.44,53.31,122.57,40.06
2017-03-24,14.91,114.45,120.88,39.2,81.88,53.63,120.16,40.21
2017-03-31,15.21,114.65,120.71,39.3,82.59,53.26,121.32,39.72
2017-04-07,15.41,114.35,120.71,39.01,83.51,53.88,120.88,39.97
2017-04-13,15.61,115.23,123.47,38.89,84.27,54.36,119.55,39.75
2017-04-21,14.98,114.72,123.54,39.17,85.1,54.52,120.83,39.7
2017-04-28,14.8,115.01,122.35,40.17,82.79,54.46,122.61,40.34
2017-05-05,14.46,113.75,121.29,41.09,82.4,54.99,123.33,40.21
2017-05-12,14.62,113.77,121.39,40.99,81.28,55.26,122.77,40.93
2017-05-19,15.07,114.59,123.71,41.49,82.19,55.58,122.37,40.69
2017-05-26,14.87,114.4,123.48,41.53,82.66,56.14,124.09,41.11
2017-06-02,14.42,114.83,125.62,42.22,83.47,57.48,125.41,41.17
2017-06-09,14.32,114.17,124.4,41.7,83.67,57.16,125.19,40.97
2017-06-16,14.12,113.68,126.35,41.8,84.94,57.57,125.25,40.75
2017-06-23,13.82,114.31,127.78,41.22,84.15,56.84,125.05,40.73
2017-06-30,14.45,113.43,125.12,41.32,83.23,56.25,124.45,40.83
2017-07-07,14.25,112.46,122.72,41.08,82.0,55.62,124.52,40.61
2017-07-14,14.53,113.05,123.33,42.07,83.08,57.08,126.23,42.52
2017-07-21,14.45,113.58,125.69,42.32,83.75,57.87,126.95,42.6
2017-07-28,14.95,113.66,123.89,42.42,84.15,58.55,126.86,42.94
2017-08-04,14.82,113.63,124.93,42.73,83.98,58.84,126.91,43.24
2017-08-11,14.78,114.27,126.43,41.81,82.1,57.87,125.04,42.41
2017-08-18,14.84,113.98,126.62,41.96,82.19,57.96,124.21,43.03
2017-08-25,14.79,114.09,127.32,42.4,83.82,58.55,125.36,44.2
2017-09-01,15.12,114.12,126.75,42.6,84.33,59.17,127.27,44.62
2017-09-08,15.12,115.22,129.0,42.94,84.93,59.95,126.49,44.53
2017-09-15,15.34,114.5,126.86,43.29,85.34,60.45,128.6,45.06
2017-09-22,15.42,114.03,126.2,43.31,82.49,60.2,128.37,44.18
2017-09-29,15.4,113.58,124.76,43.41,83.09,59.41,129.52,43.57
2017-10-06,15.23,113.38,123.59,43.36,83.3,59.62,131.19,44.37
2017-10-13,15.58,114.13,125.85,44.15,84.79,60.51,131.36,45.18
2017-10-20,15.6,113.41,123.98,43.95,83.65,60.16,132.42,44.81
2017-10-27,15.93,113.45,123.24,43.88,82.28,59.44,132.64,44.74
2017-11-03,16.22,113.95,125.64,44.33,83.09,59.89,132.82,44.62
2017-11-10,16.4,113.71,124.1,44.04,84.93,60.0,132.54,44.59
2017-11-17,16.32,114.12,126.39,43.87,84.65,59.78,132.64,44.87
2017-11-24,16.44,114.14,126.8,44.72,84.95,60.83,134.11,45.6
2017-12-01,16.3,113.61,126.55,44.43,84.59,60.51,136.07,44.05
2017-12-08,15.96,113.69,126.69,44.37,84.03,60.63,136.48,44.14
2017-12-15,15.84,113.89,128.35,44.44,85.08,61.07,137.55,44.43
2017-12-22,16.2,113.18,124.77,44.59,81.83,59.64,137.52,45.43
2017-12-29,16.61,114.08,126.86,44.86,82.98,60.5,137.25,45.91
2018-01-05,16.71,113.92,125.71,46.16,81.05,62.35,140.37,47.86
2018-01-12,16.97,113.38,124.52,46.8,78.61,62.85,142.75,48.47
2018-01-19,16.88,113.2,123.06,47.1,78.71,63.43,143.92,49.45
2018-01-26,17.25,113.37,123.59,47.88,79.69,65.14,146.86,50.98
2018-02-02,16.99,112.37,119.58,46.09,77.08,62.23,141.3,48.26
2018-02-09,16.13,111.5,117.94,43.66,74.15,58.43,134.23,45.64
2018-02-16,16.57,111.8,118.71,45.39,75.29,60.69,140.11,48.3
2018-02-23,16.86,111.9,118.13,45.4,74.94,60.76,140.86,48.65
